"","title","subtitle","author_name","author_about","publisher","publisher_date","publisher_year","format","page_count","language","isbn_10","isbn_13","category","sub_category","average_rating","rating_number","price","features_text","dimensions","item_weight","weight_grams"
"140","If You Really Loved Me","Mass Market Paperback – April 1, 1992","Ann Rule","Ann Rule is regarded by many as the foremost true crime writer in America, and the author responsible for the genre as it exists today. She came to her career with a solid background in law enforcement and the criminal justice system. As a child, Ann spent her summer vacations with her grandparents in Stanton, Michigan, helping her grandmother prepare meals for the prisoners in the jail. She wondered why such friendly, normal appearing, men were locked behind bars, and why the sweet woman in the cell upstairs (who taught Ann to crochet) was about to go on trial for murder. That was the beginning of her lifelong curiosity about the ""Whys"" behind criminal behavior. Following in the footsteps of her grandfather, a sheriff in Michigan, Ann joined the Seattle Police Department when she was 21, worked a year and a half, but couldn’t pass the eye test. After five years of rejection slips, she finally sold her first article for $35! Soon, she found her niche when she began writing for fact-detective magazines like TRUE DETECTIVE. Ann was a full-time true crime writer from 1969 - 2015. Over the past 30 years, she has published 33 books and 1400 articles, mostly on criminal cases. Ann has a BA from the University of Washington in Creative Writing, with minors in Psychology, Criminology and Penology. She has completed courses in Crime Scene Investigation, Police Administration, Crime Scene Photography and Arrest, Search, and Seizure, earning her an Associates Degree from Highline Community College. Ann not only attended several police seminars on organized crime, arson, bomb search, and DNA, but taught her own seminars to law enforcement groups, and was a certified instructor in many states on subjects such as: Serial Murder, Sadistic Sociopaths, Women Who Kill, and High Profile Offenders. She was a member of the U.S. Justice Department Task Force that set up the Violent Criminal Apprehension Program (VI-CAP), and testified twice before Senate Judiciary Sub-committees on victims' rights and on the danger of serial killers. Ann's books deal with three areas: the victims' stories; the detectives and prosecutors and how they solve their cases with old fashioned police work and modern forensic science; and the killers’ lives. Ann spent months researching for her books, investigating the killers' early childhood, and even back into their family histories to find some of the genesis of their behavior. Eight of Ann's books have been made into TV movies, and five more are in the works. She won the coveted Peabody Award for the miniseries based on her book,Small Sacrifices, and has two Anthony Awards from Bouchercon, the mystery fans' organization. She has been nominated three times for Edgar Awards from the Mystery Writers of America. She was also awarded the Washington State Governor's Award. Ann is active in support groups for victims of violent crimes and their families, in programs to help battered and abused women, and support groups for children caught in traumatic living situations. Ann Rule passed away in July of 2015. From Ann Rule: “My first book, THE STRANGER BESIDE ME, was about Ted Bundy, but, amazingly, I had the book contract to write about an unknown killer six months before Bundy was identified as the ""Ted Killer."" And I had known him all along, and didn't realize it; he was my partner in the all-night shift at Seattle's Crisis Clinic!” “To choose a book subject, I weed through about 3,000 suggestions from readers. I'm looking for an ""anti-hero"" whose eventual arrest shocks those who knew him (or her): attractive, brilliant, charming, popular, wealthy, talented, and much admired in their communities--but really hiding behind masks.”","Pocket Books","April 1, 1992",1992,"",NA,"English","0671769200","978-0671769208","Biographies & Memoirs","True Crime",4.5,2569,7.99,"There was only one way to please her father: Murder his wife.... | David Brown was the consummate entrepreneur: a computer wizard and millionaire by age thirty-two. When his beautiful young wife was shot to death as she slept, Brown's fourteen-year-old daughter, Cinnamon, confessed to killing her stepmother. The California courts sentenced her harshly: twenty-four years to life. But in the wake of Cinnamon's murder conviction, thanks in part to two determined lawmen, the twisted private world of David Brown himself unfolded with astonishing clarity -- revealing a trail of perverse love, twisted secrets, and evil mind games. A complex and often dangerous investigation suggested a horrifying scenario: Was the seemingly bland David Brown really a stone-cold killer who convinced his own daughter to prove her love by killing for him? A man who turned young women into his own personal slaves, who collected nearly $1 million in insurance money, and married his dead wife's teenage sister, David Brown was a sociopath who would stop at nothing...a deadly charmer who almost got away with everything.","4.19 x 1.6 x 6.75 inches","10.4 ounces",294.8
"141","Post Pattern (Burnside Series)","Paperback – May 30, 2014","David Chill","David Chill is a USA Today bestselling author and has written fourteen novels: Post Pattern, Fade Route, Bubble Screen, Safety Valve, Corner Blitz, Nickel Package, Double Pass, Tampa Two, Flea Flicker, Swim Move, Hard Count, Jet Sweep, Bull Rush,, and Curse Of The Afflicted. Post Pattern was given an award by the Private Eye Writers of America for best new first novel. The Burnside Mystery Series has received much critical acclaim. Born and raised in New York City, David received his undergraduate degree from SUNY-Oswego, and then moved to Los Angeles where he earned a Master's degree from USC. David Chill presently lives in Los Angeles. If you would like to find out when new David Chill novels are published, please sign up for David Chill's mailing list (100% spam free!). You can do so here: http://eepurl.com/PMvlP","Cold Spirit Press","May 30, 2014",2014,"Paperback",228,"English","0990416704","978-0990416708","Mystery, Thriller & Suspense","Mystery",4.2,1169,14.99,"After a football star is shot at on a California freeway, he approaches Burnside, a former college football player who has become a successful private investigator. As Burnside unravels a complex series of baffling leads, the body count piles up. He encounters beautiful girls, wayward athletes and overworked cops on his way to cracking a case that no one else wants to touch. And Burnside is also forced to confront a betrayal from his past that hovers beneath the surface. Set against the sun drenched backdrop of a hot Los Angeles summer, Post Pattern provides readers with a taut, engaging mystery. The novel delivers a smart, sexy plot with crackling dialogue and fascinating characters.","6 x 0.58 x 9 inches","12 ounces",340.2
"142","Riding Home: The Power of Horses to Heal","Paperback – October 4, 2016","(Horse clinician) Tim Hayes","Tim Hayes is an internationally recognized Natural Horsemanship Clinician. He conducts clinics throughout the United States, Canada, Europe and Mexico He is a visiting instructor at The University of Connecticut & The University of Vermont Departments of Animal Science. He is a Contributing Expert Consultant & Columnist for: ""Equus,"" ""Equine Journal"" and ""Horse Directory"" Magazines. Before his career as a horseman, Hayes had a long career in Film and Television. To learn more about Tim Hayes, Horses & Healing visit: http://www.ridinghome.com and http://www.hayesisforhorses.com","St. Martin's Griffin","Reprint edition (October 4, 2016",2016,"Paperback",304,"English","1250106176","978-1250106179","Science & Math","Biological Sciences",4.7,398,17.99,"Equine therapy has long been a staple activity for special-needs children and adults, and its physical benefits are evident. In | Riding Home, | Horse Nation's must read book of 2016, Tim Hayes uses his own vast experience working with horses combined with scientific research to show us how and why horses and our relationships with them are also able to heal our emotional and psychological wounds. | Riding Home | provides riveting examples of how equine therapy has become one of today’s most effective, cutting-edge methods of healing where so often traditional therapy and prescription drugs have failed.The natural ability of a horse to accept, without judgment, a soldier with PTSD who has seen or done horrific things, and by so doing, express compassion and benevolent acknowledgment―often preventing suicide―is extraordinary. At-risk youth in equine programs find that horses don’t judge or criticize them, allowing them to express painful feelings for the first time. This is a book for horse lovers, but also for parents of teenagers who might be slipping into violence, crime, and drugs. It is a book for loved ones of soldiers returning from the war, a book for families of autistic children, and truly anyone who needs help or has lost their way. It is accessible, moving, and shows us a way to approach healing from an entirely new perspective.Horses help us discover hidden parts of ourselves, whether we’re seven or seventy. They model relationships that demonstrate acceptance, kindness, honesty, tolerance, patience, justice, compassion, and forgiveness. This amazing power of horses to heal is accessible to anyone.","5.45 x 1.2 x 8.25 inches","9.6 ounces",272.2
"143","The Great Railway Bazaar","Paperback – June 1, 2006","Paul Theroux","Paul Theroux was born and educated in the United States. After graduating from university in 1963, he travelled first to Italy and then to Africa, where he worked as a Peace Corps teacher at a bush school in Malawi, and as a lecturer at Makerere University in Uganda. In 1968 he joined the University of Singapore and taught in the Department of English for three years. Throughout this time he was publishing short stories and journalism, and wrote a number of novels. Among these were Fong and the Indians, Girls at Play and Jungle Lovers, all of which appear in one volume, On the Edge of the Great Rift (Penguin, 1996). In the early 1970s Paul Theroux moved with his wife and two children to Dorset, where he wrote Saint Jack, and then on to London. He was a resident in Britain for a total of seventeen years. In this time he wrote a dozen volumes of highly praised fiction and a number of successful travel books, from which a selection of writings were taken to compile his book Travelling the World (Penguin, 1992). Paul Theroux has now returned to the United States, but he continues to travel widely. Paul Theroux's many books include Picture Palace, which won the 1978 Whitbread Literary Award; The Mosquito Coast, which was the 1981 Yorkshire Post Novel of the Year and joint winner of the James Tait Black Memorial Prize, and was also made into a feature film; Riding the Iron Rooster, which won the 1988 Thomas Cook Travel Book Award; The Pillars of Hercules, shortlisted for the 1996 Thomas Cook Travel Book Award; My Other Life: A Novel, Kowloon Tong, Sir Vidia's Shadow, Fresh-air Fiend and Hotel Honolulu. Blindness is his latest novel. Most of his books are published by Penguin.","Mariner Books","Reprint edition (June 1, 2006",2006,"Paperback",352,"English","0618658947","978-0618658947","Reference","Writing, Research & Publishing Guides",4.2,1376,8.79,"From legendary writer Paul Theroux, an epic journey across Europe and Asia in this international best-selling classic of travel literature: “Funny, sardonic, wonderfully sensuous and evocative…consistently entertaining.""— | New York Times Book Review | In 1973, Paul Theroux embarked on a four-month journey by train from the United Kingdom through Europe, the Middle East, and Southeast Asia. In | The Great Railway Bazaar, | he records in vivid detail and penetrating insight the many fascinating incidents, adventures, and encounters of his grand, intercontinental tour.Asia's fabled trains—the Orient Express, the Khyber Pass Local, the Frontier Mail, the Golden Arrow to Kuala Lumpur, the Mandalay Express, the Trans-Siberian Express—are the stars of a journey that takes Theroux on a loop eastbound from London's Victoria Station to Tokyo Central, then back from Japan on the Trans-Siberian. Brimming with Theroux's signature humor and wry observations, this engrossing chronicle is essential reading for both the ardent adventurer and the armchair traveler.","5.5 x 0.89 x 8.25 inches","12.8 ounces",362.9
"144","Conquest: The Chronicles of the Invaders","Hardcover – February 11, 2014","John Connolly","I was born in Dublin, Ireland in 1968 and have, at various points in his life, worked as a journalist, a barman, a local government official, a waiter and a ""gofer"" at Harrods department store in London. I studied English in Trinity College, Dublin and journalism at Dublin City University, subsequently spending five years working as a freelance journalist for The Irish Times newspaper, to which I continue to contribute, although not as often as I would like. I still try to interview a few authors every year, mainly writers whose work I like, although I've occasionally interviewed people for the paper simply because I thought they might be quirky or interesting. All of those interviews have been posted to my website, http://www.johnconnollybooks.com. I was working as a journalist when I began work on my first novel. Like a lot of journalists, I think I entered the trade because I loved to write, and it was one of the few ways I thought I could be paid to do what I loved. But there is a difference between being a writer and a journalist, and I was certainly a poorer journalist than I am a writer (and I make no great claims for myself in either field.) I got quite frustrated with journalism, which probably gave me the impetus to start work on the novel. That book, Every Dead Thing, took about five years to write and was eventually published in 1999. It introduced the character of Charlie Parker, a former policeman hunting the killer of his wife and daughter. Dark Hollow, the second Parker novel, followed in 2000. The third Parker novel, The Killing Kind, was published in 2001, with The White Road following in 2002. In 2003, I published my fifth novel - and first stand-alone book - Bad Men. In 2004, Nocturnes, a collection of novellas and short stories, was added to the list, and 2005 marked the publication of the fifth Charlie Parker novel, The Black Angel. In 2006, The Book of Lost Things, my first non-mystery novel, was published. Charlie Parker has since appeared in five additional novels: The Unquiet, The Reapers (where he plays a secondary role to his associates, Louis and Angel), The Lovers, The Whisperers, and The Burning Soul. The eleventh Charlie Parker novel, The Wrath of Angels, will be available in the UK in August 2012 and in the US in January 2013. The Gates launched the Samuel Johnson series for younger readers in 2009, followed by Hell's Bells (UK)/The Infernals (US) in 2011. A third Samuel Johnson novel should be finished in 2013. I am also the co-editor, with fellow author Declan Burke, of Books to Die For, an anthology of essays from the world's top crime writers in response to the question, ""Which book should all lovers of crime fiction read before they die?"" Books to Die For is available in the UK as of August 2012, and will be available in the US in October 2012. I am based in Dublin but divide my time between my native city and the United States, where each of my novels has been set.","Atria/Emily Bestler Books","First Edition (February 11, 2014",2014,"Hardcover",448,"English","1476757127","978-1476757124","Science Fiction & Fantasy","Science Fiction",4.2,546,16.69,"The first in a stunning new science fiction trilogy, | Conquest | introduces a world where humanity has been conquered by a powerful alien rulership—unless a group of young rebels can unlock their powers and help rescue humankind from its terrible fate. | Earth is no longer ours. . . . | It is ruled by the Illyri, a beautiful, civilized, yet ruthless alien species. But humankind has not given up the fight, and Paul Kerr is one of a new generation of young Resistance leaders waging war on the invaders.  Syl Hellais is the first of the Illyri to be born on Earth. Trapped inside the walls of her father’s stronghold, hated by the humans, she longs to escape.  But on her sixteenth birthday, Syl’s life is about to change forever. She will become an outcast, an enemy of her people, for daring to save the life of one human: Paul Kerr. Only together do they have a chance of saving each other, and the planet they both call home.  For there is a greater darkness behind the Illyri conquest of Earth, and the real invasion has not yet even begun. . . .","6 x 1.3 x 9 inches","1.34 pounds",607.8
"145","Zen Meditation for Beginners: A Practical Guide to Inner Calm","Paperback – September 29, 2020","Bonnie Myotai Treace","Bonnie Myotai Treace is a Zen priest, the founder, and teacher of Hermitage Heart Zen, and was previously the Abbot of the Zen Center of NYC and Vice Abbot of Zen Mountain Monastery. She has studied and taught Zen since the 1980s and has had (""the honor and constant challenge!"") of working with thousands of students on the Zen path. Her Zen teaching draws from her experiences as a nun (""24 years of a 4 am-9 pm schedule of group training, vows of poverty, and a shiny head..."") as well as her life as a layperson, (""happily married, with grandkids, dogs, a mortgage, and a required sense of humor.""). She is also an essayist, poet, and advocate for women and the environment. Sensei lives and teaches in Black Mountain, North Carolina. She was the first Dharma successor of John Daido Loori, Roshi, in the Mountains and Rivers Order, and also studied with Taisen Maezumi Roshi and Peter Muryo Matthiessen Roshi. Serving and training in the Order for over two decades, she was the establishing teacher and first Abbot of the Zen Center of New York City. At the Monastery she was also the first director of Dharma Communications and longtime editor of the famous (""in certain albeit small circles..."") Mountain Record journal. Prior to the Monastery, Treace taught in the English Department at Florida State University (""adjuncts unite!""), was a lobbyist for women's issues, helped run a small-town newspaper, and for several years (""oddly enough"") worked as an analyst with the Potomac Research Institute specializing in hydromechanics. She is the author of several books: ""Winter Moon: A Season of Zen,"" and ""Empty Branches."" She's also had chapters in ""Water: Its Spiritual Significance"" (Fons Vitae Press), The Art of Just Sitting: Essential Writings on the Zen Practice of Shikantaza, and ""Lotus Moon: The Poetry of Rengetsu"", along with many other writings. Myotai's teachings have appeared in various Buddhist publications, including Buddhadharma: The Practitioner's Quarterly, The Mountain Record and in several editions of The Best Buddhist Writing.","Rockridge Press","September 29, 2020",2020,"Paperback",168,"English","1647390893","978-1647390891","Health, Fitness & Dieting","Alternative Medicine",4.6,224,12.59,"Center yourself and find calm—simple Zen meditation for beginners | Beginning Zen meditation is a step into the unknown―let | Zen Meditation for Beginners | be your guide. This simple, straightforward handbook shows you how to embrace the beauty and clarity of the present moment―helping you destress and find balance at home, at work, or wherever you are. Discover 10 different Zen principles, and find out how to apply their wisdom in your everyday life. This book of meditation for beginners shows you how to bring important principles of Zen to life in your own meditation. When you leave your seated practice, post-meditation exercises help you take that peace with you on your journey. | Zen Meditation for Beginners | includes: | A few minutes of peace—Take a break with these short practices—most take five or 10 minutes, and some can be done while you go about your day. | A few minutes of peace | —Take a break with these short practices—most take five or 10 minutes, and some can be done while you go about your day. | Find what you need—Meditate on themes for the modern day, like Embodying Kindness, Noticing Negative Self-Speak, No Big Deal, and more. | Find what you need | —Meditate on themes for the modern day, like Embodying Kindness, Noticing Negative Self-Speak, No Big Deal, and more. | Clear and simple—No previous Zen experience necessary—this book on meditation for beginners walks you through the basics, so you can relax and move forward confidently. | Clear and simple | —No previous Zen experience necessary—this book on meditation for beginners walks you through the basics, so you can relax and move forward confidently. | Invite a few moments of calm into your busy day with | Zen Meditation for Beginners | .","6.5 x 0.46 x 6.5 inches","8.5 ounces",241
"146","The Blessed and the Damned (Righteous)","Paperback – Unabridged, October 2, 2012","Michael Wallace","Sign up to Michael's New Release Mailing List here: bit.ly/10ZDLZ2 (Simply cut-and-paste that address into your browser) and receive a copy of one of his books as a welcome. Your email will never be shared and you will only be contacted when a new book is out. Books and Series THE STARSHIP BLACKBEARD UNIVERSE Starship Blackbeard Lords of Space Dreadnought Rebellion of Stars The Sentinel Dragon Quadrant Shattered Sun Queen of the Void Star Wolf Sun King Alliance Stars Alliance Armada Alliance Insurgent THE DARK CITADEL UNIVERSE The Dark Citadel The Free Kingdoms The Golden Griffin The Warrior King War of Wizards The Red Sword The Black Shield The Emerald Crown THE RIGHTEOUS SERIES The Righteous Mighty and Strong The Wicked The Blessed and the Damned Destroying Angel The Gates of Babylon Hell’s Fortress Blood of the Faithful THE QUINTANA TRILOGY Wandering Star The Luminoso Chasm of Fire THE DEVIL’S DEEP SERIES The Devil’s Deep The Devil’s Peak The Devil’s Cauldron HISTORICAL SUSPENSE The Red Rooster Wolf Hook The Wolves of Paris Crow Hollow The Crescent Spy Victoria Crossing The Year of Counting Souls Blood of Vipers","Thomas & Mercer","Unabridged edition (October 2, 2012",2012,"Paperback",350,"English","1612182216","978-1612182216","Mystery, Thriller & Suspense","Thrillers & Suspense",4.2,392,11.24,"As the son of the prophet of Blister Creek, a polygamous enclave in Utah, Dr. Jacob Christianson has struggled for years to reconcile his faith with his skepticism about the fundamentalist practices of his community. Nevertheless, when his family and neighbors were threatened, Jacob stepped up time and again to lead the fight against those who would destroy them. Now Jacob and the residents of Blister Creek face a dangerous new challenge to their quiet existence. Taylor Kimball Jr. wants to take over as prophet of Blister Creek―and he wants Jacob’s sister Eliza by his side when he does it. With no room for personal reservations, Jacob forms a tenuous alliance with his father and the FBI. But Taylor Junior is as crafty as he is brutal, anticipating Jacob’s plan and drawing him out to leave Blister Creek vulnerable to attack. And this time Taylor has come prepared, with a horrific new weapon capable of annihilating Blister Creek. If he has any chance of winning this fight, Jacob will have to decide, once and for all, just how far he is willing to go to protect his community. The fourth in Michael Wallace’s riveting Righteous series, | The Blessed and the Damned | raises the stakes in Jacob’s world to dizzying new heights.","5.5 x 1 x 8.25 inches","13.6 ounces",385.6
"147","Adara (La Maldicion del capo)","Paperback – May 14, 2022","Angy Skay","Angy Skay, Valladolid de 1990. Autora superventas con la serie Solo por ti y Diamante Rojo que, actualmente, dispone de dieciocho novelas publicadas. En la actualidad reside en Almería. Es trabajadora en el mundo de la literatura como editora, y tiene un Máster en Edición y Gestión Editorial con la Universidad de Valencia y el Grupo Planeta. El cine es su pasión y es lo que la llevó a terminar su formación como guionista, donde ya comienza a tomar las riendas con nuevos proyectos. Es madre de tres pequeños y estudiante a tiempo parcial. Hace un tiempo decidió expulsar de su mente la cantidad de historias que nacían en ella y comenzó a teclear con brío, dada su capacidad innata para escribir y desarrollar tramas. Le encanta leer, el cine, el riesgo, las locuras y, sobre todo, luchar por lo que más aprecia del mundo de las letras: sus libros. Tiene debilidad por los personajes malos y, a pesar de ser una loca enamorada de la romántica; la acción, el humor y el erotismo siempre persisten en sus novelas. También tiene escritas cuatro novelas más a cuatro manos. La serie Mafia de tres, junto a Noelia Medina. En la actualidad, cinco de sus series ya han sido seleccionadas con la finalidad de intentar llevarlas al plano audiovisual: Solo por ti, Diamante Rojo, Tiziano, Mi obsesión y Mafia de tres. Sigue a la autora en sus redes @angyskay angyskay.es","Entre Libros Editorial","1st edition (May 14, 2022",2022,"Paperback",522,"Spanish","8418748524","978-8418748523","Literature & Fiction","Genre Fiction",4.7,573,33.22,"Que la traición se paga con sangre no es ningún misterio para Adara Megalos, y aun siendo consciente y creyendo que no ha traicionado a la familia Sabello, sus sospechosos movimientos provocarán una vorágine de situaciones en controversia de las que no podrá escapar, incluso con el actual capo de la mafia siciliana de su parte. Claudio hará lo imposible para que su familia continúe con la unión que, durante años, Antonella y él no han permitido que se rompa, pese a las adversidades y enfrentamientos con sus enemigos. Unos enemigos que, tras creerlos muertos, resucitarán con más fuerza de la que los Sabello pensaban. Sin embargo, sabe más el diablo por viejo que por diablo, y las intenciones del capu podrían no ser del todo francas. Aferrándose a la decisión del capo, Adara aguantará estoicamente la llegada de un Tiziano envuelto en una oscuridad que jamás ha conocido, lo que provocará que su vida se tambalee con mucha fuerza y que todo lo bonito que habían construido juntos se derrumbe como un castillo de naipes, causando con ello un efecto dominó que desestabilizará la cordura de la tan aclamada bambina. Cuando descubres el verdadero significado de la palabra «futuro», nunca puedes llegar a imaginarte que intentarán derrocarte desde dentro. No piensas lo suficiente como para darle cabida a esos sentimientos que te impulsan a huir al lado contrario, algo que solo descubres al verte encerrado entre cuatro paredes grises en las que te ahogas. La segunda parte de la trilogía del secundario más esperado de Diamante Rojo continúa más perverso, vengativo, sediento de sangre y con un odio insano que te nublará la razón. «Cuando la palabra de un Sabello se desvanece, la maldición del capo puede ser irrompible».","5.91 x 1.31 x 9.06 inches","1.76 pounds",798.3
"148","Le parfum du bonheur est plus fort sous la pluie (French Edition)","Paperback – May 2, 2017","Virginie Grimaldi","Virginie Grimaldi grew up in Bordeaux and wanted to be a writer for as long as she can remember. She wrote her first novel aged eight in a green notebook with multiplication tables in the back. It was about love and the sea and featured a thirty-page-long sunset . . . How to Find Love in the Little Things was first published in France in May 2016 and became an instant bestseller, translated into multiple languages. You can follow Virginie on Twitter: @GinieGrimaldi and Instagram: @virginiegrimaldi","French and European Publications Inc","May 2, 2017",2017,"Paperback",464,"French","2213704732","978-2213704739","Literature & Fiction","Genre Fiction",4.5,11841,28.94,"« Je ne t’aime plus. »Il aura suffi de cinq mots pour que l’univers de Pauline bascule.Installée avec son fils de quatre ans chez ses parents, elle laisse les jours s’écouler en attendant que la douleur s’estompe. Jusqu’au moment où elle décide de reprendre sa vie en main.Si les sentiments de Ben se sont évanouis, il suffit de les ranimer.Chaque jour, elle va donc lui écrire un souvenir de leur histoire. Mais cette plongée dans le passé peut faire resurgir les secrets les plus enfouis.Avec une extrême sensibilité et beaucoup d’humour, Virginie Grimaldi parvient à faire revivre des instantanés de vie et d’amour et nous fait passer du rire aux larmes. Une histoire universelle.Virginie Grimaldi est l’auteur de deux best-sellers, | Le Premier Jour du reste de ma vie | (LGF, 2016) et | Tu comprendras quand tu seras plus grande | (Fayard, 2016 ; LGF, 2017). Ses romans ont déjà séduit des centaines de milliers de lecteurs.","6.02 x 1.42 x 9.25 inches","1.52 pounds",689.5
"149","A Most Intriguing Lady: A Novel","Audio CD – Unabridged, March 7, 2023","Sarah Ferguson","The Duchess of York is a global humanitarian, businesswoman, best selling children’s book author, producer and wellness advocate. In 1993 she founded Children in Crisis and the charity has educated over 1.4 million children, trained over 18,000 teachers, built 57 schools and supports hundreds of schools on a yearly basis. Recently CIC merged with Street Child and The Duchess is Founder Patron, remaining active in its mission to provide education to forgotten children around the world. She has recently returned from visiting Street Child’s projects in Nepal and Sierra Leone, supporting the most marginalised into education and out of bonded labour. The Duchess has published over 55 books including two autobiographies and titles dealing with health, empowerment, history, art, as well as children's stories. A seven book series for young readers has recently been signed in Australia and New Zealand, with the first 3 books ‘The Enchanted Oak Tree’, ‘Genie Gems’ and ‘Arthur Fantastic’ published shortly. Four books from the original ‘Helping Hands’ series have recently been re-released. Other children’s books include the series of ‘Budgie the Little Helicopter’, adapted into a highly successful animated series on US primetime Fox and the children’s book ‘Tea for Ruby’, published by Simon and Schuster which had it’s debut at the top of the New York Times bestseller list. Other books include ‘What I know now: Lessons Learnt The Hard Way’; the aforementioned 12 book series ‘Helping Hands’ with Lloyds Pharmacy and a five book children’s series about the adventures of ‘Little Red’. The Duchess retraced Queen Victoria’s travels abroad to co-write ‘Travels with Queen Victoria’ as well as ‘Osborne House’. The subject of countless media interviews herself, The Duchess has also found success as a reporter and presenter. In America, she has been a special correspondent for NBC's Today show and has presented specials and documentaries on ABC, FOX, and CNN. In Britain, she has presented and co-produced specials for ITV, BBC, and Sky TV. She has served as guest editor on BBC Radio 4 Today programme and has regularly contributed to BBC Radio 2’s primetime lifestyle show “Steve Wright. In 2020, the Duchess founded her new charitable trust, Sarah’s Trust and in June 2021 she became an International Ambassador for Montessori.","HarperCollins B and Blackstone Publishing","MP3CD Audio edition (March 7, 2023",2023,"",NA,"English","","979-8200974849","Literature & Fiction","Genre Fiction",4.3,739,27.29,"[ MP3 CD Format ] | From Sarah Ferguson, the Duchess of York, a sweeping, romantic compulsively readable historical saga about a Duke's daughter -- the perfect Victorian lady -- who secretly moonlights as an amateur sleuth for high society's inner circle. | Victorian London was notorious for its pickpockets. But in the country houses of the elite, gentleman burglars, art thieves and con men preyed on the rich and titled. Wealthy victims -- with their pride and reputation at stake -- would never go to the police. What they needed was a society insider, one of their own, a person of discretion and finely tuned powers of observation, a person capable of intrigue. | That person was Lady Mary Montagu Douglas Scott, the youngest child of Queen Victoria's close friends the Duke and Duchess of Buccleuch. Bookish, fiercely intelligent, and a keen observer, Mary has deliberately cultivated a mousey persona that allows her to remain overlooked and significantly underestimated by all. It's the perfect cover for a sleuth, a role she stumbles into when trying to assist a close friend during a house party hosted by her parents at their stately Scottish home, Drumlanrig Castle. | It is at this party where Lady Mary also meets Colonel Walter Trefusis, a distinguished and extremely handsome war veteran. Tortured by memories of combat, Walter, like Mary, lives a double life, with a desk job in Whitehall providing a front for his role in the British Intelligence Service. The two form an unlikely alliance to solve a series of audacious crimes -- and indulge in a highly charged on-off romance. | Pacy, romantic, and fun, | A Most Intriguing Lady | documents one remarkable woman's ability to be both the perfect lady, and a perfectly talented detective...and, of course, to find love too.","5.3 x 0.7 x 6.7 inches","3.2 ounces",90.7
"150","APA Made Easy","Paperback – May 15, 2012","Scott Matkovich","scottmatkovich.com I am the author of APA Made Easy, a guide to help college students and professionals set up their writing in APA format within 15 minutes. It has enjoyed being the #1 APA guide on Amazon.com's Kindle Store with the recently released paperback in the top 3. My latest book, ""The Big Book of APA Citations and References"" was released in April 2014.","CreateSpace Independent Publishing Platform","3rd ed. edition (May 15, 2012",2012,"Paperback",120,"English","1477493395","978-1477493397","Reference","Dictionaries & Thesauruses",4.4,434,6.99,"APA Made Easy | 3rd Edition | Updated and Expanded | 15 Minutes. | That's as long as we think any student should have to spend formatting their papers. Unfortunately, students often spend hours trying to find answers from hard to follow manuals or confusing websites. Whether you want a step-by-step APA guide for building a title page, suggestions for writing with greater clarity, or freedom from doing endless internet searches every time you have a question about APA standards, APA Made Easy is the only blueprint that you will need for writing in APA style. This comprehensive writing guide includes illustrated steps for formatting an APA document in: • Microsoft Word 2010• Microsoft Word 2011 for Mac• Microsoft Word 2013 • Apple's PagesThis simple APA guide features:• Numerous APA style examples and high resolution screen shots to help students correctly format documents within 15 minutes.• Over 150 completed Reference examples.• Over 60 completed In-Text Citation examples.• How to use various headings effectively in your writing.• Specific examples that cover how to cite new media such as blog posts, emails, websites, online lectures, computer programs, social media and much more.• A new section on using and citing DOI's (Digital Object Identifiers) for new media.• Clickable Table of Contents for ease of use.• A short sample paper in APA format.• For more information on APA Made Easy and downloadable APA templates visit: YouVersusTheWorld.com.You will also become a more effective and efficient writer by learning:• How to outline information you've already gathered.• How to write an essay or research paper from an outline.• How to write a solid introduction• How to use the required headings in a research paper including | Abstracts, Method, Subjects and Participants, Materials or Apparatus, Results, and Discussion | sections.• Building citations within your paper and on your Reference page.**All information in this book conforms to the APA Publication Manual 6th edition.","5.9 x 0.4 x 8.8 inches","6.4 ounces",181.4
